CustomerID,first_purchase_date,total_orders,total_revenue,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segment
12414,2011-02-02 14:51:00,3,716.17,310,3,716.17,1,3,3,133,Others
12415,2011-04-01 14:28:00,21,146030.43,252,21,146030.43,2,5,5,255,Others
12417,2011-03-03 14:12:00,9,4263.88,281,9,4263.88,2,5,5,255,Others
12418,2011-08-19 11:08:00,1,668.58,113,1,668.58,3,1,3,313,Others
12420,2011-10-07 08:55:00,1,600.39,64,1,600.39,4,1,3,413,Potential Loyalist
12421,2011-08-17 10:56:00,4,964.49,115,4,964.49,3,4,3,343,Loyalists
12422,2011-09-05 09:48:00,3,1042.06,96,3,1042.06,4,3,3,433,Loyalists
12423,2011-06-01 09:26:00,8,2097.24,192,8,2097.24,3,5,4,354,Loyalists
12424,2011-06-30 12:06:00,2,1760.96,163,2,1760.96,3,2,4,324,Others
12425,2011-09-22 17:31:00,1,777.2,78,1,777.2,4,1,3,413,Potential Loyalist
12426,2011-05-29 12:26:00,1,582.73,195,1,582.73,2,1,3,213,Hibernating
12427,2010-12-03 10:44:00,3,1129.3,372,3,1129.3,1,3,4,134,Others
12428,2011-03-01 09:33:00,9,7956.46,284,9,7956.46,1,5,5,155,Others
12429,2010-12-09 12:05:00,4,5031.9,366,4,5031.9,1,4,5,145,Others
12430,2011-10-27 15:09:00,1,256.4,43,1,256.4,4,1,1,411,Potential Loyalist
12431,2010-12-01 10:03:00,15,8286.18,374,15,8286.18,1,5,5,155,Others
12432,2011-06-20 13:27:00,5,5059.32,172,5,5059.32,3,4,5,345,Loyalists
12433,2010-12-01 13:24:00,7,17162.99,373,7,17162.99,1,5,5,155,Others
12434,2011-09-16 12:38:00,2,806.14,85,2,806.14,4,2,3,423,Potential Loyalist
12435,2011-03-17 07:40:00,2,7829.89,268,2,7829.89,2,2,5,225,Hibernating
12436,2011-09-01 12:09:00,1,509.01,100,1,509.01,3,1,2,312,Others
12437,2011-02-02 15:22:00,18,5494.61,310,18,5494.61,1,5,5,155,Others
12438,2011-07-22 13:29:00,2,2906.85,140,2,2906.85,3,2,5,325,Others
12441,2010-12-08 10:45:00,1,347.1,367,1,347.1,1,1,2,112,Hibernating
12442,2011-12-06 14:22:00,1,172.06,3,1,172.06,5,1,1,511,Potential Loyalist
12444,2011-08-10 08:41:00,5,5005.46,122,5,5005.46,3,4,5,345,Loyalists
12445,2011-11-17 18:43:00,1,133.4,22,1,133.4,5,1,1,511,Potential Loyalist
12446,2011-10-13 12:50:00,1,1002.31,58,1,1002.31,4,1,3,413,Potential Loyalist
12447,2011-04-10 13:25:00,1,476.49,243,1,476.49,2,1,2,212,Hibernating
12448,2011-10-26 13:46:00,1,449.45,44,1,449.45,4,1,2,412,Potential Loyalist
12449,2011-08-02 09:14:00,4,4067.29,130,4,4067.29,3,4,5,345,Loyalists
12450,2011-07-06 14:41:00,2,197.88,156,2,197.88,3,2,1,321,Others
12451,2011-05-05 17:34:00,5,11955.03,218,5,11955.03,2,4,5,245,Others
12452,2011-11-23 08:05:00,2,430.57,17,2,430.57,5,2,2,522,Potential Loyalist
12453,2011-07-28 14:08:00,1,707.09,134,1,707.09,3,1,3,313,Others
12454,2011-10-14 17:13:00,1,3528.34,56,1,3528.34,4,1,5,415,Potential Loyalist
12455,2011-06-03 11:33:00,6,4165.76,190,6,4165.76,3,4,5,345,Loyalists
12456,2011-10-26 14:41:00,3,3181.04,44,3,3181.04,4,3,5,435,Loyalists
12457,2011-10-04 13:13:00,7,2363.23,66,7,2363.23,4,5,4,454,Champions
12458,2011-02-28 10:55:00,2,947.4,285,2,947.4,1,2,3,123,Hibernating
12461,2011-09-06 16:57:00,2,826.88,94,2,826.88,4,2,3,423,Potential Loyalist
12462,2011-02-09 14:44:00,2,1951.7,303,2,1951.7,1,2,4,124,Hibernating
12463,2011-04-12 12:47:00,4,1344.78,242,4,1344.78,2,4,4,244,Others
12464,2011-02-03 13:30:00,8,1425.95,309,8,1425.95,1,5,4,154,Others
12465,2011-11-22 16:34:00,2,742.19,17,2,742.19,5,2,3,523,Potential Loyalist
12468,2011-06-05 11:36:00,2,950.13,188,2,950.13,3,2,3,323,Others
12471,2011-02-03 10:47:00,30,25399.26,310,30,25399.26,1,5,5,155,Others
12472,2010-12-05 14:19:00,7,9028.77,369,7,9028.77,1,5,5,155,Others
12473,2011-06-01 10:15:00,5,3938.55,192,5,3938.55,3,4,5,345,Loyalists
12474,2011-09-02 10:53:00,18,7975.59,99,18,7975.59,3,5,5,355,Loyalists
12475,2011-10-17 10:10:00,1,723.38,54,1,723.38,4,1,3,413,Potential Loyalist
12476,2011-05-05 17:13:00,11,7538.65,218,11,7538.65,2,5,5,255,Others
12477,2011-10-07 09:16:00,6,15575.69,64,6,15575.69,4,4,5,445,Champions
12478,2011-12-06 09:56:00,1,680.99,4,1,680.99,5,1,3,513,Potential Loyalist
12479,2011-11-28 13:26:00,1,527.2,11,1,527.2,5,1,2,512,Potential Loyalist
12480,2011-01-07 15:27:00,4,4097.88,336,4,4097.88,1,4,5,145,Others
12481,2011-10-05 09:46:00,10,6990.75,66,10,6990.75,4,5,5,455,Champions
12483,2011-09-02 11:42:00,8,3032.54,99,8,3032.54,3,5,5,355,Loyalists
12484,2011-11-04 15:18:00,6,5680.39,35,6,5680.39,5,4,5,545,Champions
12488,2011-09-25 10:34:00,3,1298.66,76,3,1298.66,4,3,4,434,Loyalists
12489,2011-01-07 13:13:00,1,669.86,336,1,669.86,1,1,3,113,Hibernating
12490,2011-11-02 14:51:00,10,6282.15,37,10,6282.15,5,5,5,555,Champions
12491,2011-11-01 12:18:00,1,460.4,39,1,460.4,4,1,2,412,Potential Loyalist
12492,2011-10-07 15:15:00,2,263.21,63,2,263.21,4,2,1,421,Potential Loyalist
12493,2011-05-26 14:53:00,2,433.74,197,2,433.74,2,2,2,222,Hibernating
12494,2011-07-01 12:17:00,7,1558.65,162,7,1558.65,3,5,4,354,Loyalists
12497,2011-09-19 12:29:00,1,1043.1,82,1,1043.1,4,1,3,413,Potential Loyalist
12498,2011-10-13 09:30:00,3,403.7,58,3,403.7,4,3,2,432,Loyalists
12500,2011-03-03 15:30:00,11,4976.74,281,11,4976.74,2,5,5,255,Others
12501,2011-01-07 12:28:00,1,4338.78,337,1,4338.78,1,1,5,115,Hibernating
12502,2011-02-03 10:41:00,5,4341.12,310,5,4341.12,1,4,5,145,Others
12504,2011-11-09 14:56:00,2,482.05,30,2,482.05,5,2,2,522,Potential Loyalist
12506,2011-04-21 08:54:00,1,73.5,233,1,73.5,2,1,1,211,Hibernating
12507,2011-07-07 10:20:00,3,1750.97,156,3,1750.97,3,3,4,334,Loyalists
12508,2011-11-10 16:27:00,2,398.27,29,2,398.27,5,2,2,522,Potential Loyalist
12509,2011-02-28 14:45:00,1,176.5,284,1,176.5,1,1,1,111,Hibernating
12510,2011-01-18 14:04:00,2,1663.62,325,2,1663.62,1,2,4,124,Hibernating
12512,2011-10-04 14:53:00,2,138.03,66,2,138.03,4,2,1,421,Potential Loyalist
12513,2011-08-19 10:51:00,1,612.29,113,1,612.29,3,1,3,313,Others
12514,2011-03-17 16:38:00,1,1017.68,267,1,1017.68,2,1,3,213,Hibernating
12515,2010-12-21 15:43:00,1,767.4,353,1,767.4,1,1,3,113,Hibernating
12516,2011-06-12 11:37:00,2,1312.06,181,2,1312.06,3,2,4,324,Others
12517,2011-06-02 15:13:00,5,2502.84,190,5,2502.84,3,4,5,345,Loyalists
12518,2011-12-09 10:13:00,5,2056.89,1,5,2056.89,5,4,4,544,Champions
12519,2011-10-07 09:26:00,1,340.84,64,1,340.84,4,1,2,412,Potential Loyalist
12520,2011-03-11 11:35:00,5,2634.26,274,5,2634.26,2,4,5,245,Others
12521,2011-07-20 10:51:00,1,599.68,143,1,599.68,3,1,3,313,Others
12522,2011-10-19 14:41:00,2,192.72,51,2,192.72,4,2,1,421,Potential Loyalist
12523,2011-04-01 09:19:00,11,1892.72,253,11,1892.72,2,5,4,254,Others
12524,2011-05-01 13:18:00,8,4823.11,222,8,4823.11,2,5,5,255,Others
12526,2011-09-06 14:19:00,3,1316.66,94,3,1316.66,4,3,4,434,Loyalists
12527,2011-01-18 12:05:00,3,633.63,326,3,633.63,1,3,3,133,Others
12528,2011-10-07 11:57:00,6,2427.01,64,6,2427.01,4,5,5,455,Champions
12530,2011-01-07 10:04:00,4,2049.68,337,4,2049.68,1,4,4,144,Others
12531,2011-11-25 11:12:00,1,125.22,15,1,125.22,5,1,1,511,Potential Loyalist
12532,2011-11-09 13:47:00,1,349.83,30,1,349.83,5,1,2,512,Potential Loyalist
12534,2011-08-01 10:26:00,1,1089.18,131,1,1089.18,3,1,4,314,Others
12535,2011-06-06 12:47:00,2,716.35,187,2,716.35,3,2,3,323,Others
12536,2011-10-11 14:52:00,3,12601.83,59,3,12601.83,4,3,5,435,Loyalists
12538,2011-11-10 17:16:00,1,363.95,29,1,363.95,5,1,2,512,Potential Loyalist
12539,2011-01-10 09:11:00,4,9000.05,334,4,9000.05,1,4,5,145,Others
12540,2011-02-01 15:11:00,17,15717.41,311,17,15717.41,1,5,5,155,Others
12541,2011-03-04 09:32:00,3,981.18,281,3,981.18,2,3,3,233,Others
12544,2011-11-03 16:15:00,1,372.7,36,1,372.7,5,1,2,512,Potential Loyalist
12545,2011-03-25 12:04:00,2,1000.39,260,2,1000.39,2,2,3,223,Hibernating
12546,2011-09-23 09:44:00,2,1161.5,78,2,1161.5,4,2,4,424,Potential Loyalist
12547,2011-03-04 12:46:00,2,207.8,281,2,207.8,2,2,1,221,Hibernating
12548,2011-06-26 15:35:00,1,95.2,166,1,95.2,3,1,1,311,Others
12550,2011-09-21 14:35:00,1,964.83,79,1,964.83,4,1,3,413,Potential Loyalist
12551,2010-12-17 11:23:00,1,336.0,358,1,336.0,1,1,2,112,Hibernating
12552,2011-11-01 10:02:00,2,437.82,39,2,437.82,4,2,2,422,Potential Loyalist
12553,2011-12-01 16:38:00,10,4398.89,8,10,4398.89,5,5,5,555,Champions
12556,2011-07-11 13:35:00,2,603.71,151,2,603.71,3,2,3,323,Others
12557,2010-12-03 12:20:00,5,16028.08,372,5,16028.08,1,4,5,145,Others
12558,2011-12-02 10:41:00,1,269.96,8,1,269.96,5,1,1,511,Potential Loyalist
12559,2011-02-02 09:49:00,2,1123.42,311,2,1123.42,1,2,4,124,Hibernating
12560,2011-12-04 13:54:00,3,2134.01,5,3,2134.01,5,3,4,534,Loyalists
12561,2011-02-10 11:39:00,1,477.7,303,1,477.7,1,1,2,112,Hibernating
12562,2011-12-01 17:20:00,7,3781.74,8,7,3781.74,5,5,5,555,Champions
12564,2011-03-23 14:55:00,1,456.9,261,1,456.9,2,1,2,212,Hibernating
12565,2011-02-24 10:34:00,1,145.92,289,1,145.92,1,1,1,111,Hibernating
12566,2011-09-14 14:30:00,1,351.65,86,1,351.65,4,1,2,412,Potential Loyalist
12567,2011-02-04 11:45:00,10,12580.39,309,10,12580.39,1,5,5,155,Others
12569,2011-04-01 13:47:00,32,4124.69,252,32,4124.69,2,5,5,255,Others
12571,2011-08-10 12:35:00,2,519.61,122,2,519.61,3,2,2,322,Others
12572,2011-12-01 09:20:00,2,1020.42,9,2,1020.42,5,2,3,523,Potential Loyalist
12573,2011-04-26 15:52:00,1,160.54,227,1,160.54,2,1,1,211,Hibernating
12574,2011-01-28 09:20:00,1,436.9,316,1,436.9,1,1,2,112,Hibernating
12576,2011-11-04 10:11:00,5,1582.68,36,5,1582.68,5,4,4,544,Champions
12577,2011-11-04 13:15:00,3,853.69,35,3,853.69,5,3,3,533,Loyalists
12578,2011-01-13 15:34:00,2,4403.17,330,2,4403.17,1,2,5,125,Hibernating
12579,2011-09-22 17:15:00,1,440.42,78,1,440.42,4,1,2,412,Potential Loyalist
12580,2011-04-07 10:24:00,1,415.7,247,1,415.7,2,1,2,212,Hibernating
12581,2011-10-31 08:56:00,1,197.71,40,1,197.71,4,1,1,411,Potential Loyalist
12582,2011-04-15 08:45:00,2,511.36,239,2,511.36,2,2,2,222,Hibernating
12583,2010-12-01 08:45:00,15,9188.96,374,15,9188.96,1,5,5,155,Others
12584,2011-03-04 15:15:00,9,2338.15,280,9,2338.15,2,5,4,254,Others
12585,2011-04-19 13:39:00,2,3302.95,234,2,3302.95,2,2,5,225,Hibernating
12586,2011-11-22 16:24:00,1,196.94,17,1,196.94,5,1,1,511,Potential Loyalist
12587,2011-12-02 12:47:00,1,144.0,8,1,144.0,5,1,1,511,Potential Loyalist
12588,2011-10-31 15:01:00,1,214.9,39,1,214.9,4,1,1,411,Potential Loyalist
12589,2011-11-11 10:19:00,2,646.68,29,2,646.68,5,2,3,523,Potential Loyalist
12590,2011-05-12 14:46:00,2,9864.26,211,2,9864.26,2,2,5,225,Hibernating
12591,2011-01-26 14:35:00,1,905.7,317,1,905.7,1,1,3,113,Hibernating
12592,2011-09-08 15:04:00,2,437.6,92,2,437.6,4,2,2,422,Potential Loyalist
12593,2011-08-02 09:55:00,3,418.1,130,3,418.1,3,3,2,332,Loyalists
12594,2011-11-02 12:20:00,10,3935.22,38,10,3935.22,5,5,5,555,Champions
12596,2011-04-11 13:22:00,2,618.27,242,2,618.27,2,2,3,223,Hibernating
12597,2011-06-09 16:04:00,4,3811.22,183,4,3811.22,3,4,5,345,Loyalists
12598,2011-07-01 11:43:00,8,3023.08,162,8,3023.08,3,5,5,355,Loyalists
12599,2011-08-05 12:38:00,7,1234.44,127,7,1234.44,3,5,4,354,Loyalists
12600,2011-02-03 09:58:00,10,3301.78,310,10,3301.78,1,5,5,155,Others
12601,2011-06-03 10:17:00,5,834.42,190,5,834.42,3,4,3,343,Loyalists
12602,2011-10-12 11:22:00,1,153.12,59,1,153.12,4,1,1,411,Potential Loyalist
12603,2011-11-18 10:42:00,1,739.2,22,1,739.2,5,1,3,513,Potential Loyalist
12604,2011-09-21 14:08:00,2,254.18,79,2,254.18,4,2,1,421,Potential Loyalist
12607,2011-10-10 16:06:00,1,1579.51,60,1,1579.51,4,1,4,414,Potential Loyalist
12609,2011-06-06 15:31:00,3,1414.78,186,3,1414.78,3,3,4,334,Loyalists
12610,2011-08-05 13:52:00,5,2099.54,126,5,2099.54,3,4,4,344,Loyalists
12611,2011-10-18 13:12:00,1,1193.32,52,1,1193.32,4,1,4,414,Potential Loyalist
12612,2011-09-26 15:35:00,1,704.04,74,1,704.04,4,1,3,413,Potential Loyalist
12613,2011-10-13 14:59:00,5,3344.38,57,5,3344.38,4,4,5,445,Champions
12614,2011-03-07 10:22:00,1,315.6,278,1,315.6,2,1,2,212,Hibernating
12615,2011-11-03 10:45:00,4,2291.19,37,4,2291.19,5,4,4,544,Champions
12616,2011-09-05 15:17:00,2,968.9,95,2,968.9,4,2,3,423,Potential Loyalist
12617,2011-11-10 14:39:00,1,355.53,29,1,355.53,5,1,2,512,Potential Loyalist
12618,2011-11-18 11:10:00,1,177.31,22,1,177.31,5,1,1,511,Potential Loyalist
12619,2011-07-04 15:54:00,9,3641.24,158,9,3641.24,3,5,5,355,Loyalists
12620,2011-05-19 12:10:00,3,1339.41,205,3,1339.41,2,3,4,234,Others
12621,2011-12-08 11:25:00,20,15715.61,2,20,15715.61,5,5,5,555,Champions
12622,2011-04-21 16:39:00,1,180.1,232,1,180.1,2,1,1,211,Hibernating
12623,2011-03-08 13:50:00,1,305.1,276,1,305.1,2,1,2,212,Hibernating
12624,2011-06-15 12:34:00,2,641.13,178,2,641.13,3,2,3,323,Others
12625,2011-05-12 09:54:00,2,4400.44,212,2,4400.44,2,2,5,225,Hibernating
12626,2011-08-04 14:20:00,9,7894.58,127,9,7894.58,3,5,5,355,Loyalists
12627,2011-08-02 09:29:00,7,4478.53,130,7,4478.53,3,5,5,355,Loyalists
12628,2011-12-05 13:15:00,3,786.46,4,3,786.46,5,3,3,533,Loyalists
12630,2011-10-27 10:41:00,2,1270.88,44,2,1270.88,4,2,4,424,Potential Loyalist
12631,2011-10-13 13:53:00,1,640.5,57,1,640.5,4,1,3,413,Potential Loyalist
12633,2011-08-02 09:35:00,4,2163.98,130,4,2163.98,3,4,4,344,Loyalists
12635,2011-07-08 08:43:00,2,1689.18,155,2,1689.18,3,2,4,324,Others
12637,2011-10-03 13:46:00,8,7538.58,67,8,7538.58,4,5,5,455,Champions
12638,2011-11-06 13:11:00,1,671.69,33,1,671.69,5,1,3,513,Potential Loyalist
12639,2011-04-15 12:48:00,1,486.1,239,1,486.1,2,1,2,212,Hibernating
12640,2011-11-15 08:43:00,3,1174.58,25,3,1174.58,5,3,4,534,Loyalists
12641,2011-08-16 13:26:00,1,185.9,115,1,185.9,3,1,1,311,Others
12642,2011-11-14 15:03:00,3,1013.26,25,3,1013.26,5,3,3,533,Loyalists
12643,2011-05-03 12:02:00,6,4215.84,221,6,4215.84,2,5,5,255,Others
12644,2011-08-02 10:33:00,1,477.91,130,1,477.91,3,1,2,312,Others
12645,2011-05-04 12:11:00,4,2144.48,220,4,2144.48,2,4,4,244,Others
12646,2011-12-05 10:14:00,2,1346.97,5,2,1346.97,5,2,4,524,Potential Loyalist
12647,2011-08-05 13:49:00,12,4916.42,126,12,4916.42,3,5,5,355,Loyalists
12648,2011-07-08 11:55:00,1,318.05,155,1,318.05,3,1,2,312,Others
12649,2011-05-11 14:37:00,3,623.51,212,3,623.51,2,3,3,233,Others
12650,2011-12-06 16:34:00,1,314.44,3,1,314.44,5,1,2,512,Potential Loyalist
12651,2011-01-09 12:46:00,1,228.0,335,1,228.0,1,1,1,111,Hibernating
12652,2011-01-12 15:00:00,1,1839.96,331,1,1839.96,1,1,4,114,Hibernating
12653,2011-07-14 10:41:00,2,2988.95,149,2,2988.95,3,2,5,325,Others
12654,2011-11-02 14:57:00,5,768.58,37,5,768.58,5,4,3,543,Loyalists
12656,2011-08-15 12:53:00,5,4051.17,116,5,4051.17,3,4,5,345,Loyalists
12657,2011-09-22 11:40:00,4,1643.18,79,4,1643.18,4,4,4,444,Champions
12658,2011-11-21 10:22:00,1,686.05,19,1,686.05,5,1,3,513,Potential Loyalist
12659,2011-11-10 11:53:00,1,91.68,30,1,91.68,5,1,1,511,Potential Loyalist
12660,2011-11-28 13:26:00,1,245.1,11,1,245.1,5,1,1,511,Potential Loyalist
12662,2010-12-01 13:04:00,11,4447.96,373,11,4447.96,1,5,5,155,Others
12664,2011-12-01 17:07:00,9,5543.46,8,9,5543.46,5,5,5,555,Champions
12665,2011-01-19 08:34:00,1,126.0,325,1,126.0,1,1,1,111,Hibernating
12667,2011-10-12 17:00:00,1,620.13,58,1,620.13,4,1,3,413,Potential Loyalist
12668,2010-12-19 12:46:00,4,5286.82,356,4,5286.82,1,4,5,145,Others
12669,2011-04-05 09:45:00,3,2744.03,249,3,2744.03,2,3,5,235,Others
12670,2011-09-02 09:51:00,5,2996.05,99,5,2996.05,3,4,5,345,Loyalists
12672,2011-01-14 09:20:00,1,451.8,330,1,451.8,1,1,2,112,Hibernating
12673,2011-12-04 13:55:00,2,831.42,5,2,831.42,5,2,3,523,Potential Loyalist
12674,2011-11-01 12:12:00,4,1970.6,39,4,1970.6,4,4,4,444,Champions
12676,2011-02-01 15:41:00,6,1840.89,311,6,1840.89,1,5,4,154,Others
12678,2011-04-04 09:08:00,12,17849.74,250,12,17849.74,2,5,5,255,Others
12679,2011-03-01 12:26:00,4,1113.02,284,4,1113.02,1,4,4,144,Others
12680,2011-12-09 12:50:00,4,862.81,1,4,862.81,5,4,3,543,Loyalists
12681,2011-01-05 12:42:00,22,18870.07,339,22,18870.07,1,5,5,155,Others
12682,2011-02-01 14:58:00,31,15200.36,311,31,15200.36,1,5,5,155,Others
12683,2011-03-01 10:31:00,15,10271.79,284,15,10271.79,1,5,5,155,Others
12684,2011-12-02 09:53:00,7,2283.63,8,7,2283.63,5,5,4,554,Champions
12685,2011-09-07 10:28:00,6,2863.08,94,6,2863.08,4,5,5,455,Champions
12686,2010-12-03 09:51:00,1,178.28,372,1,178.28,1,1,1,111,Hibernating
12688,2011-08-18 08:49:00,1,4873.81,114,1,4873.81,3,1,5,315,Others
12689,2011-08-04 10:04:00,2,1247.61,128,2,1247.61,3,2,4,324,Others
12690,2011-05-18 09:09:00,1,389.01,206,1,389.01,2,1,2,212,Hibernating
12691,2011-11-11 16:49:00,6,1442.0,28,6,1442.0,5,5,4,554,Champions
12693,2011-08-04 17:51:00,4,1017.96,127,4,1017.96,3,4,3,343,Loyalists
12694,2011-06-09 17:48:00,2,869.67,183,2,869.67,3,2,3,323,Others
12695,2011-12-02 13:22:00,4,582.1,7,4,582.1,5,4,3,543,Loyalists
12697,2011-11-11 08:47:00,3,957.59,29,3,957.59,5,3,3,533,Loyalists
12700,2011-12-02 10:47:00,4,4939.99,8,4,4939.99,5,4,5,545,Champions
12701,2011-04-11 13:02:00,2,797.71,242,2,797.71,2,2,3,223,Hibernating
12702,2011-11-20 10:36:00,1,219.0,20,1,219.0,5,1,1,511,Potential Loyalist
12703,2011-09-29 17:52:00,1,283.55,71,1,283.55,4,1,1,411,Potential Loyalist
12704,2011-12-02 13:15:00,8,2340.84,7,8,2340.84,5,5,4,554,Champions
12705,2011-07-04 14:36:00,9,7726.29,158,9,7726.29,3,5,5,355,Loyalists
12707,2011-02-21 08:38:00,1,603.42,292,1,603.42,1,1,3,113,Hibernating
12708,2010-12-06 10:43:00,10,3193.97,369,10,3193.97,1,5,5,155,Others
12709,2011-03-01 12:09:00,15,12169.11,284,15,12169.11,1,5,5,155,Others
12710,2011-07-01 13:22:00,3,1149.02,161,3,1149.02,3,3,4,334,Loyalists
12712,2011-02-01 10:00:00,13,5431.56,312,13,5431.56,1,5,5,155,Others
12713,2011-12-09 12:16:00,1,848.55,1,1,848.55,5,1,3,513,Potential Loyalist
12714,2011-06-13 11:41:00,5,5677.16,180,5,5677.16,3,4,5,345,Loyalists
12715,2011-08-25 15:22:00,1,353.86,106,1,353.86,3,1,2,312,Others
12716,2011-12-06 08:55:00,2,1053.49,4,2,1053.49,5,2,3,523,Potential Loyalist
12717,2011-04-08 10:32:00,2,1030.98,246,2,1030.98,2,2,3,223,Hibernating
12718,2011-09-29 16:38:00,1,238.25,71,1,238.25,4,1,1,411,Potential Loyalist
12719,2011-12-04 13:45:00,2,644.95,5,2,644.95,5,2,3,523,Potential Loyalist
12720,2011-08-03 10:04:00,25,6887.06,129,25,6887.06,3,5,5,355,Loyalists
12721,2011-04-07 13:07:00,6,3397.75,246,6,3397.75,2,5,5,255,Others
12722,2011-07-12 11:55:00,4,997.63,151,4,997.63,3,4,3,343,Loyalists
12723,2011-10-05 15:52:00,5,725.07,65,5,725.07,4,4,3,443,Loyalists
12724,2011-12-04 16:02:00,4,1186.31,5,4,1186.31,5,4,4,544,Champions
